Neighborhood,Id,Total:,Margin of Error; Total:,below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - In family households:,Margin of Error; Income in the past 12 months below poverty level: - In family households:,Estimate; Income in the past 12 months below poverty level: - In family households: - In married couple families:,Margin of Error; Income in the past 12 months below poverty level: - In family households: - In married couple families:,Estimate; Income in the past 12 months below poverty level: - In family households: - In married couple families: - All relatives,Margin of Error; Income in the past 12 months below poverty level: - In family households: - In married couple families: - All relatives,Estimate; Income in the past 12 months below poverty level: - In family households: - In married couple families: - Non-relatives,Margin of Error; Income in the past 12 months below poverty level: - In family households: - In married couple families: - Non-relatives,Estimate; Income in the past 12 months below poverty level: - In family households: - In other families:,Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families:,"Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present: - All relatives","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present: - All relatives","Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present: - Non-relatives","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present: - Non-relatives","Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present: - All relatives","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present: - All relatives","Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present: - Non-relatives","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present: - Non-relatives",Estimate; Income in the past 12 months below poverty level: - In non-family households and other living arrangement:,Margin of Error; Income in the past 12 months below poverty level: - In non-family households and other living arrangement:,Estimate; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder:,Margin of Error; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder:,Estimate; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder: - Living alone,Margin of Error; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder: - Living alone,Estimate; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder: - Not living alone,Margin of Error; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder: - Not living alone,Estimate; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Other living arrangement,Margin of Error; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Other living arrangement,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - In family households:,Margin of Error; Income in the past 12 months at or above poverty level: - In family households:,Estimate; Income in the past 12 months at or above poverty level: - In family households: - In married couple families:,Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In married couple families:,Estimate; Income in the past 12 months at or above poverty level: - In family households: - In married couple families: - All relatives,Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In married couple families: - All relatives,Estimate; Income in the past 12 months at or above poverty level: - In family households: - In married couple families: - Non-relatives,Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In married couple families: - Non-relatives,Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families:,Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families:,"Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present: - All relatives","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present: - All relatives","Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present: - Non-relatives","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present: - Non-relatives","Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present: - All relatives","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present: - All relatives","Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present: - Non-relatives","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present: - Non-relatives",Estimate; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement:,Margin of Error; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement:,Estimate; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder:,Margin of Error; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder:,Estimate; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder: - Living alone,Margin of Error; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder: - Living alone,Estimate; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder: - Not living alone,Margin of Error; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder: - Not living alone,Estimate; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Other living arrangement,Margin of Error; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Other living arrangement
Allegheny Center,1,1130,184,516,195,290,202,163,195,163,195,0,10,127,80,0,10,0,10,0,10,127,80,121,74,6,10,226,83,205,82,182,84,23,20,21,16,614,138,143,76,143,76,143,76,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,471,113,375,85,309,80,66,38,96,57
Allegheny West,2,331,104,45,26,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,45,26,0,10,0,10,0,10,45,26,286,102,199,101,186,99,179,94,7,11,13,19,13,19,13,19,0,10,0,10,0,10,0,10,87,40,79,36,66,34,13,13,8,11
Allentown,3,2624.0,499.013025882,750.0,397.315995148,490.0,400.251171141,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,490.0,400.251171141,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,490.0,400.251171141,449.0,379.565541113,41.0,64.5677938295,260.0,120.158229015,171.0,72.5947656515,171.0,72.5947656515,0.0,17.3205080757,89.0,102.805641869,1874.0,360.256852814,1480.0,344.164204995,544.0,220.556115308,544.0,220.556115308,0.0,17.3205080757,936.0,357.38634557,71.0,66.8206554891,71.0,66.8206554891,0.0,17.3205080757,865.0,355.967695164,865.0,355.967695164,0.0,17.3205080757,394.0,136.638208419,328.0,105.87728746,274.0,98.2089608946,54.0,54.083269132,66.0,56.9649014745
Arlington,4,1890.0,367.887210977,343.0,160.626896876,279.0,158.77657258,97.0,96.0468635615,83.0,97.0360757657,14.0,23.6854385646,182.0,126.692541217,113.0,113.181270535,103.0,101.365674664,10.0,20.6155281281,69.0,60.5557594288,22.0,35.902646142,47.0,37.2827037647,64.0,30.6757233004,43.0,25.3771550809,33.0,24.7588368063,10.0,15.779733838,21.0,19.6977156036,1547.0,319.771793628,1113.0,283.361959338,724.0,262.288009638,712.0,261.652441227,12.0,22.8910462845,389.0,164.073154416,17.0,25.3179778023,17.0,25.3179778023,0.0,17.3205080757,372.0,167.020956769,372.0,167.020956769,0.0,17.3205080757,434.0,172.56592943,230.0,71.6798437498,125.0,51.8555686499,105.0,49.6084670192,204.0,117.635028797
Arlington Heights,5,380,196,278,198,257,196,0,10,0,10,0,10,257,196,0,10,0,10,0,10,257,196,257,196,0,10,21,18,21,18,21,18,0,10,0,10,102,75,55,79,0,10,0,10,0,10,55,79,0,10,0,10,0,10,55,79,49,79,6,9,47,38,47,38,47,38,0,10,0,10
Banksville,6,3944.0,494.205422876,252.0,175.83515007,178.0,166.979040601,118.0,152.983659258,118.0,152.983659258,0.0,20.0,60.0,66.7083203206,0.0,20.0,0.0,20.0,0.0,20.0,60.0,66.7083203206,27.0,46.357307946,33.0,51.9711458407,74.0,57.183913822,33.0,39.3954312072,33.0,39.3954312072,0.0,20.0,41.0,44.1701256507,3692.0,453.208561261,2474.0,436.585615887,1954.0,391.537993048,1954.0,391.537993048,0.0,20.0,520.0,288.63991408,69.0,79.6743371482,69.0,79.6743371482,0.0,20.0,451.0,277.209307203,379.0,225.772008894,72.0,105.432442825,1218.0,260.618495122,1057.0,228.155648627,891.0,231.775753693,166.0,80.9506022214,161.0,90.4930936592
Bedford Dwellings,7,1169,169,815,196,566,201,113,133,113,133,0,10,453,153,48,50,48,50,0,10,405,142,405,142,0,10,249,77,234,74,211,75,23,20,15,18,354,102,197,97,33,27,33,27,0,10,164,92,28,45,28,45,0,10,136,91,136,91,0,10,157,60,152,59,152,59,0,10,5,8
Beechview,8,8081.0,751.370081917,1473.0,435.62139525,1146.0,428.893926281,392.0,319.713934636,384.0,319.606007453,8.0,32.6955654485,754.0,283.070662555,151.0,139.556440196,21.0,45.3431361951,130.0,136.853936736,603.0,259.2103393,570.0,251.489562407,33.0,47.4341649025,327.0,103.329569824,244.0,94.445751625,202.0,89.7942091673,42.0,39.0128184063,83.0,47.0531614241,6608.0,665.841572748,5130.0,648.224498149,3250.0,540.471090809,3250.0,540.471090809,0.0,31.6227766016,1880.0,416.595727294,636.0,255.050975297,569.0,232.548919585,67.0,52.3545604508,1244.0,349.46530586,1137.0,323.715924848,107.0,67.5869809947,1478.0,266.951306422,1243.0,207.985576423,994.0,180.244278689,249.0,111.897274319,235.0,109.799817851
Beltzhoover,9,1885.0,337.761750351,554.0,210.964451982,323.0,191.319105162,0.0,20.0,0.0,20.0,0.0,20.0,323.0,191.319105162,44.0,69.2026011072,44.0,69.2026011072,0.0,20.0,279.0,178.446070284,261.0,172.017440976,18.0,26.1151297144,231.0,128.537932144,205.0,109.384642432,166.0,99.5640497368,39.0,46.4973117503,26.0,42.6731765867,1331.0,298.06375157,1122.0,303.000000001,593.0,262.895416468,593.0,262.895416468,0.0,20.0,529.0,190.378570222,206.0,170.358445638,186.0,166.496246204,20.0,30.4138126515,323.0,157.990506044,323.0,157.990506044,0.0,20.0,209.0,74.0405294416,188.0,67.6091709755,184.0,67.6091709755,4.0,19.5192212959,21.0,29.8663690461
Bloomfield,10,8702.0,527.9374963,1760.0,316.794886322,392.0,189.88154202,175.0,134.62169216,175.0,134.62169216,0.0,31.6227766016,217.0,136.055135881,57.0,60.1082357085,33.0,48.4148737476,24.0,47.6340214552,160.0,126.087271364,155.0,125.801430835,5.0,31.3209195267,1368.0,254.068888296,733.0,135.476935306,439.0,103.831594421,294.0,87.6299035719,635.0,179.371123652,6942.0,502.075691504,3321.0,425.339864109,2229.0,324.444140032,2229.0,324.444140032,0.0,31.6227766016,1092.0,304.060849174,473.0,226.25649162,401.0,197.273921236,72.0,54.9363267793,619.0,200.372153754,601.0,195.719186591,18.0,31.0161248385,3621.0,347.547119109,2592.0,212.497058803,1826.0,190.908354977,766.0,142.355189579,1029.0,211.135027886
Bluff,11,630.0,136.370817993,215.0,111.180034179,11.0,24.269322199,0.0,20.0,0.0,20.0,0.0,20.0,11.0,24.269322199,11.0,24.269322199,11.0,24.269322199,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,204.0,109.206226929,79.0,38.1051177665,47.0,30.4138126515,32.0,28.5832118559,125.0,95.7340064972,415.0,110.204355631,187.0,70.8307842679,144.0,61.7818743646,144.0,61.7818743646,0.0,20.0,43.0,41.7612260356,38.0,38.1575680566,38.0,38.1575680566,0.0,20.0,5.0,23.579652245,5.0,23.579652245,0.0,20.0,228.0,92.6606712689,122.0,62.0080639917,95.0,55.9016994375,27.0,29.7489495612,106.0,65.9545297914
Bon Air,12,832,175,140,167,133,167,0,10,0,10,0,10,133,167,0,10,0,10,0,10,133,167,133,167,0,10,7,10,0,10,0,10,0,10,7,10,692,143,571,159,558,158,558,158,0,10,13,23,0,10,0,10,0,10,13,23,13,23,0,10,121,68,106,60,89,55,17,18,15,16
